market,assets,pairs,falsified,zero_priced,family,seed,mechanism,revenue_norm,welfare_norm,served,mono_violation_rate,status
"('t', ('1059', 'table_sfl.csvf3e8d'))",47,177.0,0.0,47.0,answer_cells,1.0,querymarket_viewcover,0.7100483350701613,1.9562657682812208,0.7075,0.0,ok
"('t', ('1059', 'table_sfl.csvf3e8d'))",47,177.0,0.0,47.0,answer_cells,1.0,monopoly_per_asset,0.7841753761301624,1.5359197006223178,0.485,0.3163841807909605,ok
"('t', ('1059', 'table_sfl.csvf3e8d'))",47,177.0,0.0,47.0,answer_cells,1.0,chawla_ubp,0.8277694414839181,1.571842663485766,0.4025,0.0,ok
"('t', ('1059', 'table_sfl.csvf3e8d'))",47,177.0,0.0,47.0,answer_cells,1.0,chawla_lpip,0.0,2.1178365493663014,1.0,0.0,ok
"('t', ('1059', 'table_sfl.csvf3e8d'))",47,177.0,0.0,47.0,answer_cells,2.0,uniform,0.9256579602027558,2.1085362690066316,0.475,0.0,ok
"('t', ('1059', 'table_sfl.csvf3e8d'))",47,177.0,0.0,47.0,answer_cells,2.0,qirana_weighted_coverage,0.0,2.5151697196215954,1.0,0.0,ok
"('t', ('1059', 'table_sfl.csvf3e8d'))",47,177.0,0.0,47.0,answer_cells,2.0,querymarket_viewcover,0.9258493676117932,2.1781521766885668,0.56,0.0,ok
"('t', ('1059', 'table_sfl.csvf3e8d'))",47,177.0,0.0,47.0,answer_cells,2.0,monopoly_per_asset,0.9510481448833039,1.8759512559842075,0.58,0.2994350282485876,ok
"('t', ('1059', 'table_sfl.csvf3e8d'))",47,177.0,0.0,47.0,answer_cells,2.0,chawla_ubp,0.9268178284147708,2.108536269006632,0.475,0.0,ok
"('t', ('1059', 'table_sfl.csvf3e8d'))",47,177.0,0.0,47.0,answer_cells,2.0,chawla_lpip,0.0,2.5151697196215954,1.0,0.0,ok
"('t', ('412', 'interact-2015_june_9_bactdetection28.prot.xls'))",64,3.0,0.0,63.0,support_rows,0.0,uniform,0.7882169645064863,1.553484222020908,0.68,0.0,ok
"('t', ('412', 'interact-2015_june_9_bactdetection28.prot.xls'))",64,3.0,0.0,63.0,support_rows,0.0,qirana_weighted_coverage,0.029278133301828504,1.7942394647764932,0.9975,0.0,ok
"('t', ('412', 'interact-2015_june_9_bactdetection28.prot.xls'))",64,3.0,0.0,63.0,support_rows,0.0,querymarket_viewcover,0.48590135494310505,1.7873077721878632,0.98,0.0,ok
"('t', ('412', 'interact-2015_june_9_bactdetection28.prot.xls'))",64,3.0,0.0,63.0,support_rows,0.0,monopoly_per_asset,0.5468133044987414,0.9426220849546245,0.395,0.6666666666666666,ok
"('t', ('412', 'interact-2015_june_9_bactdetection28.prot.xls'))",64,3.0,0.0,63.0,support_rows,0.0,chawla_ubp,0.7898541557669125,1.553484222020908,0.68,0.0,ok
"('t', ('412', 'interact-2015_june_9_bactdetection28.prot.xls'))",64,3.0,0.0,63.0,support_rows,0.0,chawla_lpip,0.03685366823612435,1.7942394647764932,0.9975,0.0,ok
"('t', ('412', 'interact-2015_june_9_bactdetection28.prot.xls'))",64,3.0,0.0,63.0,support_rows,1.0,uniform,0.6819163060297153,1.1376047367163153,0.47,0.0,ok
"('t', ('412', 'interact-2015_june_9_bactdetection28.prot.xls'))",64,3.0,0.0,63.0,support_rows,1.0,qirana_weighted_coverage,0.0,1.6467088713095692,0.9975,0.0,ok
"('t', ('412', 'interact-2015_june_9_bactdetection28.prot.xls'))",64,3.0,0.0,63.0,support_rows,1.0,querymarket_viewcover,0.4291045084311362,1.640738199447241,0.9825,0.0,ok
"('t', ('412', 'interact-2015_june_9_bactdetection28.prot.xls'))",64,3.0,0.0,63.0,support_rows,1.0,monopoly_per_asset,0.6370944784208135,1.0447793924258255,0.44,0.3333333333333333,ok
